STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,TIME_HORIZ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y35T39,,H,,2024,,2955034,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y50T54,,H,,2024,,2446595,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y70T74,,H,,2024,,1972708,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y10T14,,H,,2024,,2235131,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y20T64,,H,,2024,,24888535,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y15T19,,H,,2024,,2315434,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y_GE50,,H,,2024,,15473204,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y30T34,,H,,2024,,3152014,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y5T9,,H,,2024,,2155845,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y75T79,,H,,2024,,1532797,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,Y45T49,,H,,2024,,2541391,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CAN,,POP,,PS,,_T,,_T,,H,,2024,,41288599,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y40T44,,H,,2024,,1421165,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y25T29,,H,,2024,,1514291,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y5T9,,H,,2024,,1221671,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y15T19,,H,,2024,,1250082,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y60T64,,H,,2024,,1088475,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y_GE65,,H,,2024,,2769187,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y10T14,,H,,2024,,1292273,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y30T34,,H,,2024,,1699578,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y80T84,,H,,2024,,322248,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y_GE50,,H,,2024,,6301034,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y_LT20,,H,,2024,,4948107,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y55T59,,H,,2024,,1202298,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y65T69,,H,,2024,,919815,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y20T24,,H,,2024,,1303328,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y50T54,,H,,2024,,1241074,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y45T49,,H,,2024,,1337371,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y15T64,,H,,2024,,13619165,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y20T64,,H,,2024,,12369083,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y35T39,,H,,2024,,1561503,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y75T79,,H,,2024,,491434,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,_T,,H,,2024,,20086377,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y70T74,,H,,2024,,719139,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,,POP,,PS,,_T,,Y_GE85,,H,,2024,,316551,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,_T,,H,,2024,,52695952,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y15T64,,H,,2024,,35703297,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y25T29,,H,,2024,,4468752,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y_GE50,,H,,2024,,13545895,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y_LE4,,H,,2024,,3637834,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y20T64,,H,,2024,,31690638,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y45T49,,H,,2024,,3151074,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y65T69,,H,,2024,,1942640,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y5T9,,H,,2024,,3941439,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y75T79,,H,,2024,,969385,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y80T84,,H,,2024,,584792,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y20T24,,H,,2024,,4247234,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y60T64,,H,,2024,,2448330,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y35T39,,H,,2024,,3864862,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y70T74,,H,,2024,,1426375,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y_GE65,,H,,2024,,5443001,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y40T44,,H,,2024,,3589526,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y10T14,,H,,2024,,3970381,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y15T19,,H,,2024,,4012659,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y_GE85,,H,,2024,,519809,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y30T34,,H,,2024,,4266296,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y50T54,,H,,2024,,2883741,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,,POP,,PS,,_T,,Y_LT20,,H,,2024,,15562313,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CRI,,POP,,PS,,_T,,Y80T84,,H,,2024,,63264.129,,A,,0,,0,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CRI,,POP,,PS,,_T,,Y_LE4,,H,,2024,,269370.68,,A,,0,,0,
